text,label
"Hey mom, it's me, I know it sounds weird but I’m using a different phone. I got into a car accident and they say I hit someone. I’m at the station and they need bail money fast, please don’t tell anyone, just go buy Apple gift cards and read me the codes, okay?",1
"Hi, this is Coinbase security, we just flagged a login from another country trying to access your wallet. We need to secure your funds right now. Do you have your recovery phrase nearby? I’ll guide you to move everything into a safe wallet we control temporarily.",1
"Hello, this is your bank’s fraud department. We noticed a suspicious charge for eight hundred dollars. To cancel it immediately, we’ve sent a six digit code to your phone. Please read it back right now so we can block the transaction before it completes.",1
"Hi, I’m calling from Amazon billing, looks like you were charged twice for a recent purchase. We’re issuing a refund of four hundred dollars, but I need you to install AnyDesk so I can process it securely on your system. Just follow my steps, okay?",1
"Grandma, it’s me, please don’t panic. I’m in trouble, I was arrested after a fight and they’re saying I need money for a lawyer right now. Please don’t call my parents, just send money through gift cards, I’ll tell you how, please hurry.",1
"This is Binance support, we detected someone attempting to drain your crypto assets. We need to move your funds into a secure cold wallet. I’ll give you the address and you just transfer everything immediately, or you could lose it within minutes.",1
"Hello sir, urgent call from your bank. A purchase was attempted on your account. We’ve sent you a verification code. Please confirm it so we can stop the fraud. If we don’t verify now, the transaction will be approved automatically.",1
"Hi, this is Microsoft support. You were charged mistakenly for a subscription renewal. We’re refunding you six hundred dollars. I need remote access to your computer to process it. Please download AnyDesk and share the code so I can assist you.",1
"Mom, it’s me, I’m using a friend’s phone. I got into an accident and the other driver is injured. They’re asking for money right now to settle this. Please go to the store and get gift cards, I’ll explain, just stay on the phone with me.",1
"Coinbase security here, we see suspicious activity. Your account may be compromised. To protect your funds, we need your seed phrase to verify ownership. Please read it slowly, this is urgent or your wallet could be drained completely.",1
"Hello, fraud prevention department here. We’ve sent a one time code to your phone. Please read it back immediately so we can block an unauthorized payment. This is time sensitive, if we delay, the money will be gone.",1
"Amazon support calling, looks like there’s a billing error. We need to issue a refund but our system requires remote verification. Install AnyDesk and give me the code. I’ll show you the refund processing live so you can see everything.",1
"Grandpa, it’s me, please don’t hang up. I’m in jail right now, I got picked up for something stupid. They said I need bail money fast. Please don’t tell mom and dad, just wire it or get gift cards, I’ll walk you through it.",1
"This is Binance security, your account is under attack right now. Hackers are trying to withdraw your funds. We need to move everything to a secure address. I’ll give you the wallet, just send all your crypto immediately.",1
"Hello, your bank’s fraud team here. We’ve sent you a code. Please confirm it now to cancel a suspicious charge. If you don’t, the charge will go through and we won’t be able to reverse it later.",1
"Hi, Microsoft billing department. We accidentally overcharged you and we’re issuing a refund. To process it, I need you to install remote access software. It’s just temporary, I’ll guide you step by step.",1
"Hey mom, it’s me, I’m really scared. I was in a car accident and they say I need to pay damages right away. Please don’t tell anyone, just help me out. Can you get gift cards and read me the codes?",1
"This is Coinbase support, urgent notice. There’s an unauthorized withdrawal pending. To secure your account, we need your recovery phrase. Please read it to me carefully so we can lock your wallet.",1
"Hello, fraud alert from your bank. We’ve sent a six digit code to your phone. Please read it back now so we can cancel a suspicious transaction. Time is critical here.",1
"Amazon support here, looks like you were mistakenly charged for a service. We’re refunding you immediately, but I need remote access to complete the process. Please install AnyDesk and share the code.",1
"Grandma, it’s me, I’m in trouble. I got into a situation and I need money fast. Please don’t call anyone else, just stay on the phone and I’ll tell you how to send it with gift cards.",1
"Binance security team calling, your funds are at risk. We need to transfer them into a secure wallet. I’ll guide you step by step, just don’t delay or the hackers will take everything.",1
"Hello, this is your bank. We’ve sent a verification code. Please read it back so we can stop a fraudulent charge. This is urgent, we need to act quickly.",1
"Microsoft support calling, we owe you a refund. To process it, we need to access your system remotely. Please install the software and give me the access code.",1
"Mom, it’s me, I can’t talk long. I’m in trouble with the police. I need bail money now. Please go get Apple gift cards and stay on the phone with me, don’t tell anyone else.",1
"Coinbase security here, we’ve detected a breach attempt. To secure your account, we need you to provide your recovery phrase. This is urgent, please don’t delay.",1
"Hello, fraud department here. A suspicious charge is pending. We’ve sent you a code, please read it back now so we can cancel it immediately.",1
"Amazon billing support, we’re issuing a refund for an overcharge. Please install remote access software so we can complete the transaction securely.",1
"Grandpa, it’s me, I’m in serious trouble. I need money fast or things will get worse. Please don’t call anyone, just help me by sending gift cards.",1
"Binance security calling, your wallet is compromised. We need to move your funds now. I’ll give you the address, just transfer everything quickly.",1
"Hello, your bank here. We’ve sent a code. Please read it back so we can stop a fraudulent transaction. This is very urgent.",1
"Microsoft support here, we’re processing your refund. Please install AnyDesk so I can access your system and complete the process.",1
"Mom, it’s me, I’m scared. I had an accident and I need money now. Please go buy gift cards and read me the codes, I’ll explain everything later.",1
"Coinbase security, urgent alert. Your account is under attack. Please provide your recovery phrase so we can secure your funds immediately.",1
"Hello, fraud alert. We’ve sent a verification code. Please read it back to stop a suspicious charge.",1
"Amazon support, we need remote access to process your refund. Please install the app and share the code.",1
"Grandma, it’s me, I’m in trouble. Please don’t tell anyone, I just need your help. Can you send money through gift cards right now?",1
"Binance security here, hackers are trying to drain your wallet. We need to move funds immediately to a secure address.",1
"Hello, bank fraud team. We’ve sent a code, please confirm it now to cancel a suspicious transaction.",1
"Microsoft support, we’re issuing a refund. Please install remote software so we can complete the process.",1
"Mom, please don’t panic, it’s me. I’m in trouble and I need money urgently. Please get gift cards and stay on the phone with me.",1
"Coinbase security calling, we need your recovery phrase to secure your wallet. This is urgent, please provide it now.",1
"Hello, fraud department. A charge is pending. Please read the code we sent to cancel it immediately.",1
"Amazon support here, we need remote access to issue your refund. Please install AnyDesk and share the code.",1
"Grandpa, it’s me, I need help fast. Please don’t call anyone, just send money using gift cards.",1
"Binance security, your account is compromised. Move your funds now to avoid loss.",1
"Hello, bank here. Please read back the code to stop fraud.",1
"Microsoft support, install remote access software to process refund.",1
"Mom, it’s me, I’m in trouble. Please get gift cards and help me.",1
"Coinbase security, provide your recovery phrase now.",1
"Fraud department, read back your code immediately.",1
"Amazon support, install AnyDesk for refund.",1
"Grandma, please send money via gift cards.",1
"Binance security, transfer funds now.",1
"Bank fraud, confirm code now.",1
"Microsoft refund, install remote access.",1
"Mom, I need help urgently, gift cards please.",1
"Coinbase alert, share your recovery phrase.",1
"Fraud alert, read code now.",1
"Amazon refund, install software.",1
"Grandpa, send money now.",1
"Binance alert, transfer funds.",1
"Bank fraud, confirm code.",1
"Microsoft refund, install app.",1
"Mom, urgent help needed.",1
"Coinbase security, phrase now.",1
"Fraud code, read now.",1
"Amazon refund, remote access.",1
"Grandma, help me now.",1
"Binance, transfer funds.",1
"Bank, confirm code.",1
"Microsoft, install software.",1
"Mom, gift cards please.",1
"Coinbase, recovery phrase.",1
"Fraud, read code.",1
"Amazon, install AnyDesk.",1
"Grandpa, send money.",1
"Binance, urgent transfer.",1
"Bank, code now.",1
"Microsoft, remote access.",1
"Mom, urgent help.",1
"Coinbase, phrase needed.",1
"Fraud, confirm code.",1
"Amazon, refund process.",1
"Grandma, money needed.",1
"Binance, funds transfer.",1
"Bank, verify code.",1
"Microsoft, install app.",1
"Uh, hey mom, it’s me, listen, I’m using someone else’s phone, okay? I got into, um, a car accident and things got really bad. They’re saying I need to pay right now or I could get arrested. Please don’t call anyone, just, uh, go get Apple gift cards and read me the codes, please hurry.",1
"Hello, uh, this is Coinbase security, listen carefully, we just detected an unauthorized login from, um, overseas. Your funds are at risk right now. I need you to, uh, get your recovery phrase and read it to me so we can secure your wallet before anything gets stolen, okay?",1
"Hi, yeah, this is your bank’s fraud department, um, we’re seeing a suspicious charge coming through right now. I need to stop it before it completes. I just sent a six digit code to your phone, uh, just read it back to me quickly so we can cancel this, alright?",1
"Uh, hello, this is Amazon billing support, listen, you were, um, overcharged for a purchase and we need to issue a refund. I just need you to install AnyDesk so I can, uh, access your screen and process it for you, it’s quick, just follow what I say.",1
"Grandma, uh, it’s me, please don’t freak out, okay? I’m in trouble, I got picked up by the police and they’re saying I need money for bail. Please don’t tell mom or dad, just, um, go get gift cards and I’ll tell you what to do, please stay on the phone.",1
"Uh hi, this is Binance security team, listen, we’re seeing active attempts to drain your account right now. You need to move your funds immediately. I’ll give you a secure wallet address, just, uh, transfer everything there so we can protect it, okay?",1
"Hello, uh, I’m calling from your bank, fraud prevention. There’s a charge being processed right now that looks suspicious. I sent you a code, um, can you just read it back to me quickly so I can stop the transaction before it goes through?",1
"Hi, uh, Microsoft support here, listen, you were charged for a subscription you didn’t use. We’re issuing a refund, but I need to, um, connect to your computer. Please install AnyDesk and give me the code so I can complete it for you.",1
"Mom, uh, listen, it’s me, I’m in trouble. I got into a situation and they’re asking for money right now. Please don’t call anyone else, just, um, go buy some Apple gift cards and read me the codes, I’ll explain everything after.",1
"Hello, uh, Coinbase support calling, we detected unusual activity on your account. Your funds could be at risk. I need your recovery phrase to verify ownership and secure everything. Just, uh, read it slowly to me so I can lock it down.",1
"Hi, uh, fraud department here, there’s a transaction happening right now on your account. I sent a verification code to your phone. Please, um, read it back immediately so we can block this before it’s too late.",1
"Uh, hello, Amazon support, we made a mistake and charged you twice. I’m here to issue a refund, but I need remote access. Just, um, install AnyDesk and share the code, I’ll handle the rest for you quickly.",1
"Grandpa, uh, it’s me, listen, I’m in serious trouble right now. I got arrested and I need bail money fast. Please don’t call anyone, just, um, stay on the phone and go get gift cards, I’ll tell you exactly what to do.",1
"Hi, uh, Binance security here, your wallet is currently under attack. We need to move your assets immediately. I’ll provide a secure address, just, um, transfer your funds there so they’re safe, okay?",1
"Hello, uh, your bank calling, fraud alert. There’s a charge pending and we need to verify it. I sent you a code, um, please read it back now so we can cancel the transaction before it completes.",1
"Uh, hi, Microsoft billing support, we’re processing a refund for you. To do that, I need to access your computer remotely. Please, um, install the software and give me the code so I can proceed.",1
"Mom, uh, it’s me, please listen, I’m in trouble and I need help fast. I can’t explain everything right now, just, um, go get Apple gift cards and read me the codes, please don’t tell anyone.",1
"Hello, uh, Coinbase security team, we detected a breach attempt on your account. Your funds are at risk. I need your recovery phrase right now to secure your wallet. Just, um, read it to me carefully.",1
"Hi, uh, fraud department, there’s a suspicious transaction happening. I sent you a code, please, um, read it back immediately so we can stop it before the money goes through.",1
"Uh, hello, Amazon support, we’re issuing a refund for an overcharge. I need you to install AnyDesk so I can process it directly on your system. Just, um, follow my instructions.",1
"Grandma, uh, it’s me, I’m in trouble, please don’t hang up. I need money fast or things will get worse. Just, um, go get gift cards and I’ll explain how to send them.",1
"Hi, uh, Binance support, we’re seeing unauthorized withdrawals on your account. You need to act fast. I’ll give you a secure wallet, just, um, transfer your funds there immediately.",1
"Hello, uh, your bank’s fraud team, there’s a charge being processed. I sent a code to your phone, um, please read it back so we can cancel it right now.",1
"Uh, hi, Microsoft support, we’re refunding you for a billing error. I need remote access to your computer. Please, um, install the app and give me the code.",1
"Mom, uh, listen, it’s me, I’m in a really bad situation. I need money right now. Please don’t call anyone, just, um, go get gift cards and stay on the phone.",1
"Hello, uh, Coinbase support, there’s suspicious activity on your wallet. I need your recovery phrase to secure your account. Please, um, read it to me now.",1
"Hi, uh, fraud department, a transaction is pending. I sent you a code, please, um, read it back so we can stop it immediately.",1
"Uh, hello, Amazon support, we’re issuing a refund. I need you to install AnyDesk so I can process it. Just, um, follow my steps.",1
"Grandpa, uh, it’s me, I’m in trouble. Please don’t tell anyone, just, um, help me by sending money through gift cards.",1
"Hi, uh, Binance security, your account is compromised. You need to move your funds now. I’ll give you the address, just, um, transfer everything.",1
"Hello, uh, bank fraud team, I sent you a code. Please read it back so we can cancel a suspicious charge.",1
"Uh, Microsoft support, we’re processing a refund. Install remote access software and give me the code.",1
"Mom, uh, it’s me, I need help urgently. Please go get gift cards and read me the codes.",1
"Coinbase security, uh, we need your recovery phrase to secure your wallet right now.",1
"Fraud department, uh, please read back the code I sent to stop the transaction.",1
"Amazon support, uh, install AnyDesk so I can process your refund.",1
"Grandma, uh, I need help fast, please send money through gift cards.",1
"Binance security, uh, transfer your funds now to avoid loss.",1
"Bank fraud, uh, confirm the code I sent.",1
"Microsoft support, uh, install remote access software.",1
"Mom, uh, please help me, I need money fast.",1
"Coinbase security, uh, read your recovery phrase.",1
"Fraud alert, uh, read the code now.",1
"Amazon support, uh, install software for refund.",1
"Grandpa, uh, send money now please.",1
"Binance, uh, transfer funds immediately.",1
"Bank, uh, confirm your code.",1
"Microsoft, uh, install the app now.",1
"Uh, hey mom, it’s me, listen, I know this sounds weird, I’m calling from someone else’s phone, okay? I got into, um, a really bad accident and they’re saying I could be charged unless I pay right now. Please don’t call anyone, just, uh, go get Apple gift cards and read me the codes, please hurry.",1
"Hello, uh, this is Coinbase security, listen carefully, we just saw a login attempt from, um, another country on your account. Your funds could be gone in minutes. I need you to, uh, grab your recovery phrase and read it to me so we can lock everything down right now.",1
"Hi, yeah, uh, this is your bank’s fraud department, we’re seeing a charge for like, um, seven hundred dollars being processed. I need to stop it immediately. I just sent a six digit code to your phone, uh, can you read that back to me real quick so we can block it?",1
"Uh, hello, Amazon support here, listen, there’s been a billing error and you were charged twice. We’re issuing a refund but I need to, um, access your computer to process it. Please install AnyDesk and give me the code, I’ll walk you through everything, okay?",1
"Grandma, uh, it’s me, please don’t panic, okay? I’m in trouble, I got picked up by the police and they’re saying I need bail money like right now. Please don’t tell mom or dad, just, um, go buy gift cards and I’ll tell you what to do, please stay with me.",1
"Uh hi, this is Binance security team, listen, we’re detecting active withdrawal attempts on your wallet right now. You could lose everything if we don’t act. I need you to, um, transfer your funds to a secure wallet I’ll provide, just do it quickly, okay?",1
"Hello, uh, I’m calling from your bank, fraud prevention, there’s a suspicious transaction pending right now. I sent you a code, um, can you just read it back to me quickly so I can stop this before it goes through? We don’t have much time here.",1
"Hi, uh, Microsoft support here, listen, you were mistakenly charged for a subscription. We’re refunding you but I need to, um, connect to your system. Please install AnyDesk and share the code, I’ll process the refund while you watch.",1
"Mom, uh, listen, it’s me, I’m in trouble, I can’t explain everything right now but I need help fast. They’re asking for money immediately. Please don’t call anyone, just, um, go get Apple gift cards and read me the numbers, please hurry.",1
"Hello, uh, Coinbase support calling, we detected unusual activity on your account just now. Someone’s trying to withdraw your funds. I need your recovery phrase to verify ownership and secure it. Just, uh, read it slowly so I can lock things down.",1
"Hi, uh, fraud department here, there’s a charge being processed on your account right now. I sent a verification code to your phone. Please, um, read it back immediately so we can block this before it completes, we’re on a tight window.",1
"Uh, hello, Amazon billing support, we made an error and overcharged you. I’m here to fix it but I need remote access. Please install AnyDesk and give me the code, um, I’ll handle the refund for you, just stay on the line.",1
"Grandpa, uh, it’s me, listen, I’m in serious trouble right now. I got arrested and they’re asking for bail money immediately. Please don’t tell anyone else, just, um, go get gift cards and I’ll explain how to send them, please don’t hang up.",1
